ID,LongName,ShortName,Type,RoadNumber,Address
0,Grand National,GN,S2,1,1
1,Pennsylvania RailRoad,PRR,SD9,58,7
2,Canadian National Stripes,CNStrip,H16,818,16
3,New Haven,NH,44TonNH,8662,18
4,Conrail,Conrail,S2,5123,23
5,Conrail,Conrail,SD60-M,58,23
6,Seaboard,Seaboard,GMD1A,1430,30
7,Doodlebug,BO,DBug,3100,31
8,Canadian National BCOL,CNBCOL,Dash840C,58,46
9,Union Pacific,UnionP,GP2047,58,47
10,Rio Grande,RioGrnd,SD60-M,5200,52
11,Grand National,GN,VO1000,58,53
12,Cleaner1,Cleaner,GNBNDY,58,54
13,Canadian National,CNRd,SD40-2M,5600,56
14,Pennsy,Pennsy,NW2,5900,59
15,Erie Lackawana,ErieLak,SD45EMD,3619,61
16,Erie Lackawana,ErieLak,SD45EMD,3619,61
17,New York Central P&LE,NYCP&LE,S4NYC,752,62
18,NYCP&LE,NYCP&LE,S4NYC,752,62
19,Northern Southern,NorSthr,GEV,58,63
20,Northern Southern,NorSthr,GEV,58,63
21,Union Pacific,UnionPac,SD40-2Sn,6700,67
22,New York Central,NYCent,RS3,7003,70
23,Canadian & Pacific Road,C&PRD,GP9TT,58,75
24,C&PRD,C&PRD,GP9TT,58,75
25,Burlington Northern SantaFe,BNSF,Dash840,8500,85
26,BNSF,BNSF,Dash8B,58,86
27,BNSF,BNSF,Dash8B,58,86
28,New York Central,NYC,NW2,8700,87
29,Montana,Montana,F45EMD,58,91
30,Montana,Montana,F45EMD,58,91
31,Cleaner 2,Cleaner,Cleaner,126,126
32,B&O Cleaner,B&O,CLEANER,1270,127
