LocoID,Function,Image,Slot,Momentary
0,0,60,0,
0,1,62,1,
0,2,252,2,1
0,8,198,3,
1,0,60,0,
1,1,62,1,
1,2,252,2,1
1,8,198,3,
2,0,60,0,
2,1,62,1,
2,2,252,2,1
2,8,198,3,
3,0,60,0,
3,1,62,1,
3,2,252,2,1
3,8,198,3,
4,0,60,0,
4,1,62,1,
4,2,252,2,1
4,8,198,3,
5,0,60,0,
5,1,62,1,
5,2,252,2,1
5,8,198,3,
6,0,60,0,
6,1,62,1,
6,2,252,2,1
6,8,198,3,
7,0,60,0,
7,1,62,1,
7,2,252,2,1
7,8,198,3,
8,0,60,0,
8,1,62,1,
8,2,252,2,1
8,8,198,3,
9,0,60,0,
9,1,62,1,
9,2,252,2,1
9,8,198,3,
10,0,60,0,
10,1,62,1,
10,2,252,2,1
10,8,198,3,
11,0,60,0,
11,1,62,1,
11,2,252,2,1
11,8,198,3,
12,0,60,0,
12,1,62,1,
12,2,252,2,1
12,8,198,3,
13,0,60,0,
13,1,62,1,
13,2,252,2,1
13,8,198,3,
14,0,60,0,
14,1,62,1,
14,2,252,2,1
14,8,198,3,
15,0,60,0,
15,1,62,1,
15,2,252,2,1
15,8,198,3,
16,0,60,0,
16,1,62,1,
16,2,252,2,1
16,8,198,3,
17,0,60,0,
17,1,62,1,
17,2,252,2,1
17,8,198,3,
18,0,60,0,
18,1,62,1,
18,2,252,2,1
18,8,198,3,
19,0,60,0,
19,1,62,1,
19,2,252,2,1
19,8,198,3,
20,0,60,0,
20,1,62,1,
20,2,252,2,1
20,8,198,3,
21,0,60,0,
21,1,62,1,
21,2,252,2,1
21,8,198,3,
22,0,60,0,
22,1,62,1,
22,2,252,2,1
22,8,198,3,
23,0,60,0,
23,1,62,1,
23,2,252,2,1
23,8,198,3,
24,0,60,0,
24,1,62,1,
24,2,252,2,1
24,8,198,3,
25,0,60,0,
25,1,62,1,
25,2,252,2,1
25,8,198,3,
26,0,60,0,
26,1,62,1,
26,2,252,2,1
26,8,198,3,
27,0,60,0,
27,1,62,1,
27,2,252,2,1
27,8,198,3,
28,0,60,0,
28,1,62,1,
28,2,252,2,1
28,8,198,3,
29,0,60,0,
29,1,62,1,
29,2,252,2,1
29,8,198,3,
30,0,60,0,
30,1,62,1,
30,2,252,2,1
30,8,198,3,
31,0,60,0,
31,1,62,1,
31,2,252,2,1
31,8,198,3,
32,0,60,0,
32,1,62,1,
32,2,252,2,1
32,8,198,3,
