ID,LongName,ShortName,Type,RoadNumber,Address,Slot
0,Grand National,GN,S2,1,1,6
1,Pennsylvania RailRoad,PRR,SD9,58,7,13
2,Canadian National Stripes,CNStrip,H16,818,16,2
3,New Haven,NH,44TonNH,8662,18,9
4,Conrail,Conrail,S2,5123,23,4
5,Conrail,Conrail,SD60-M,58,23,17
6,Seaboard,Seaboard,GMD1A,1430,30,3
7,B&O Doodlebug,B&O,DoodleBg,3100,31,32
8,Canadian National BCOL,CNBCOL,Dash840CW,58,46,12
9,Union Pacific,UnionP,GP2047,58,47,16
10,Rio Grande,RioGrnd,SD60-M,5200,52,0
11,Grand National,GN,VO1000,58,53,14
12,Cleaner1,Cleaner,GNBNDY,58,54,19
13,Canadian National,CNRd,SD40-2M,5600,56,21
14,Pennsy,Pennsy,NW2,5900,59,22
15,Erie Lackawana,ErieLak,SD45EMD,3619,61,5
16,Erie Lackawana,ErieLak,SD45EMD,3619,61,23
17,New York Central P&LE,NYCP&LE,S4NYCentral,752,62,8
18,NYCP&LE,NYCP&LE,S4NYCentral,752,62,24
19,Northern Southern,NorSthr,GEVOET44AC,58,63,11
20,Northern Southern,NorSthr,GEVOET44AC,58,63,25
21,Union Pacific,UnionPac,SD40-2Sn,6700,67,26
22,New York Central,NYCent,RS3,7003,70,1
23,Canadian & Pacific Road,C&PRD,GP9TT,58,75,18
24,C&PRD,C&PRD,GP9TT,58,75,27
25,Burlington Northern SantaFe,BNSF,Dash840,8500,85,31
26,BNSF,BNSF,Dash8B,58,86,15
27,BNSF,BNSF,Dash8B,58,86,28
28,New York Central,NYC,NW2,8700,87,29
29,Montana,Montana,F45EMD,58,91,10
30,Montana,Montana,F45EMD,58,91,30
31,Cleaner 2,Cleaner,Cleaner,126,126,7
32,B&O Cleaner,B&O,CLEANER,1270,127,32
